ex_factory_vials,shipment_date,valid_order,wholesaler_name_2,wholesaler_name,week_end_date,month_year,quarter_year,year,is_business_day,unit_price,discount,gross_sales,net_sales
8,2022-07-11,1,McKesson Specialty Care DC         ,MSH,2022-07-15,2022-07,2022-Q3,2022,1,6785,0.15,54280,46138
7,2022-07-11,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-07-15,2022-07,2022-Q3,2022,1,6785,0.15,47495,40370.75
20,2022-07-14,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-07-15,2022-07,2022-Q3,2022,1,6785,0.15,135700,115345
6,2022-07-18,1,DOTHAN D AND S                     ,CENCORA,2022-07-22,2022-07,2022-Q3,2022,1,6785,0.15,40710,34603.5
27,2022-07-18,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-07-22,2022-07,2022-Q3,2022,1,6785,0.15,183195,155715.75
7,2022-07-18,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-07-22,2022-07,2022-Q3,2022,1,6785,0.15,47495,40370.75
5,2022-07-18,1,McKesson Specialty Care DC         ,MSH,2022-07-22,2022-07,2022-Q3,2022,1,6785,0.15,33925,28836.25
4,2022-07-19,1,PANTHERRX RARE                     ,PANTHERRX,2022-07-22,2022-07,2022-Q3,2022,1,6649.3,0.15,26597.2,22607.62
15,2022-07-21,0,PANTHERRX RARE                     ,PANTHERRX,2022-07-22,2022-07,2022-Q3,2022,1,6649.3,0.15,99739.5,84778.575
5,2022-07-21,1,DOTHAN D AND S                     ,CENCORA,2022-07-22,2022-07,2022-Q3,2022,1,6785,0.15,33925,28836.25
12,2022-07-21,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-07-22,2022-07,2022-Q3,2022,1,6785,0.15,81420,69207
24,2022-07-25,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-07-29,2022-07,2022-Q3,2022,1,6785,0.15,162840,138414
9,2022-07-27,0,PANTHERRX RARE                     ,PANTHERRX,2022-07-29,2022-07,2022-Q3,2022,1,6649.3,0.15,59843.7,50867.145
15,2022-07-28,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-07-29,2022-07,2022-Q3,2022,1,6785,0.15,101775,86508.75
25,2022-08-01,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-08-05,2022-08,2022-Q3,2022,1,6785,0.15,169625,144181.25
55,2022-08-02,1,DOTHAN D AND S                     ,CENCORA,2022-08-05,2022-08,2022-Q3,2022,1,6785,0.15,373175,317198.75
19,2022-08-04,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-08-05,2022-08,2022-Q3,2022,1,6785,0.15,128915,109577.75
10,2022-08-04,1,DOTHAN D AND S                     ,CENCORA,2022-08-05,2022-08,2022-Q3,2022,1,6785,0.15,67850,57672.5
13,2022-08-04,1,McKesson Specialty Care DC         ,MSH,2022-08-05,2022-08,2022-Q3,2022,1,6785,0.15,88205,74974.25
4,2022-08-08,1,McKesson Specialty Care DC         ,MSH,2022-08-12,2022-08,2022-Q3,2022,1,6785,0.15,27140,23069
16,2022-08-08,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-08-12,2022-08,2022-Q3,2022,1,6785,0.15,108560,92276
8,2022-08-11,1,DOTHAN D AND S                     ,CENCORA,2022-08-12,2022-08,2022-Q3,2022,1,6785,0.15,54280,46138
10,2022-08-11,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-08-12,2022-08,2022-Q3,2022,1,6785,0.15,67850,57672.5
16,2022-08-15,1,McKesson Specialty Care DC         ,MSH,2022-08-19,2022-08,2022-Q3,2022,1,6785,0.15,108560,92276
5,2022-08-15,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-08-19,2022-08,2022-Q3,2022,1,6785,0.15,33925,28836.25
17,2022-08-15,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-08-19,2022-08,2022-Q3,2022,1,6785,0.15,115345,98043.25
15,2022-08-16,0,PANTHERRX RARE                     ,PANTHERRX,2022-08-19,2022-08,2022-Q3,2022,1,6649.3,0.15,99739.5,84778.575
18,2022-08-18,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-08-19,2022-08,2022-Q3,2022,1,6785,0.15,122130,103810.5
4,2022-08-18,1,DOTHAN D AND S                     ,CENCORA,2022-08-19,2022-08,2022-Q3,2022,1,6785,0.15,27140,23069
3,2022-08-22,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-08-26,2022-08,2022-Q3,2022,1,6785,0.15,20355,17301.75
2,2022-08-22,1,McKesson Specialty Care DC         ,MSH,2022-08-26,2022-08,2022-Q3,2022,1,6785,0.15,13570,11534.5
25,2022-08-22,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-08-26,2022-08,2022-Q3,2022,1,6785,0.15,169625,144181.25
16,2022-08-25,1,DOTHAN D AND S                     ,CENCORA,2022-08-26,2022-08,2022-Q3,2022,1,6785,0.15,108560,92276
27,2022-08-25,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-08-26,2022-08,2022-Q3,2022,1,6785,0.15,183195,155715.75
6,2022-08-29,1,McKesson Specialty Care DC         ,MSH,2022-09-02,2022-08,2022-Q3,2022,1,6785,0.15,40710,34603.5
11,2022-08-29,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-09-02,2022-08,2022-Q3,2022,1,6785,0.15,74635,63439.75
11,2022-08-30,0,PANTHERRX RARE                     ,PANTHERRX,2022-09-02,2022-08,2022-Q3,2022,1,6649.3,0.15,73142.3,62170.955
18,2022-09-01,1,DOTHAN D AND S                     ,CENCORA,2022-09-02,2022-09,2022-Q3,2022,1,6785,0.15,122130,103810.5
19,2022-09-01,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-09-02,2022-09,2022-Q3,2022,1,6785,0.15,128915,109577.75
11,2022-09-01,0,PANTHERRX RARE                     ,PANTHERRX,2022-09-02,2022-09,2022-Q3,2022,1,6649.3,0.15,73142.3,62170.955
6,2022-09-06,0,PANTHERRX RARE                     ,PANTHERRX,2022-09-09,2022-09,2022-Q3,2022,1,6649.3,0.15,39895.8,33911.43
16,2022-09-06,1,McKesson Specialty Care DC         ,MSH,2022-09-09,2022-09,2022-Q3,2022,1,6785,0.15,108560,92276
31,2022-09-06,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-09-09,2022-09,2022-Q3,2022,1,6785,0.15,210335,178784.75
